qid,bm25,baseline,decomposition,yesno,iterative,iterative_pool,iterative_pool_rerank,steps
2hop__72660_319330,0.0,0.5,0.5,0.0,0.0,0.5,0.5,3
2hop__6870_16335,0.5,0.0,0.5,0.0,0.5,0.5,0.5,2
2hop__390055_82341,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2
2hop__711946_269414,0.5,0.5,0.5,0.0,0.5,0.5,0.5,2
2hop__734582_74481,0.5,0.5,0.5,0.5,0.5,1.0,1.0,3
2hop__6736_6733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2hop__735014_83837,0.5,0.5,0.5,0.5,1.0,1.0,1.0,3
2hop__123214_22402,0.5,0.5,0.5,0.0,0.5,0.5,0.5,3
2hop__141456_6455,1.0,0.5,0.5,0.5,0.5,1.0,1.0,3
2hop__26642_81961,0.5,0.0,0.5,0.5,0.5,0.5,0.0,3
2hop__31585_61048,0.0,0.0,0.5,0.0,0.5,0.5,0.0,2
2hop__83405_158262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2hop__504464_708278,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2
2hop__789565_416401,0.5,0.0,0.5,0.5,0.5,0.5,0.5,2
2hop__92716_319330,0.5,0.0,0.5,0.0,0.5,0.5,0.5,2
2hop__6735_6733,0.5,0.5,0.0,0.0,0.5,0.5,0.5,2
2hop__861157_135481,1.0,0.5,1.0,0.0,1.0,1.0,1.0,2
2hop__256778_131879,0.0,0.5,0.0,0.5,0.0,0.0,0.0,2
2hop__6827_75783,0.0,0.5,0.5,0.5,0.5,0.5,0.5,2
2hop__669160_139339,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3
2hop__55032_786853,0.5,0.5,0.5,0.0,0.5,0.5,0.5,2
2hop__133102_417697,0.5,0.5,0.0,0.0,0.5,0.5,0.5,2
2hop__276637_126089,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2
2hop__153532_45326,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3
2hop__34495_49388,0.5,0.0,0.5,0.0,0.0,0.5,0.5,3
2hop__510860_22402,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3
2hop__60229_1783,0.5,0.5,0.5,0.5,1.0,1.0,0.0,2
2hop__59612_42429,0.5,0.0,0.0,0.0,0.0,0.5,0.5,3
2hop__761291_87295,0.5,0.5,0.5,0.5,1.0,1.0,1.0,3
2hop__70338_36240,0.5,0.5,0.5,0.0,0.5,0.5,0.5,3
2hop__194532_57594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2hop__49409_67668,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2
2hop__478978_124498,0.5,0.0,0.5,0.5,0.5,0.5,0.5,2
2hop__731584_700117,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3
2hop__6745_6731,1.0,1.0,0.5,0.5,0.5,1.0,1.0,2
2hop__472486_97805,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3
2hop__690412_526810,0.5,1.0,1.0,1.0,0.5,1.0,1.0,3
2hop__66167_615257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2hop__353836_80026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2hop__505860_650613,0.5,0.5,0.5,0.0,0.5,0.5,0.5,2
2hop__391857_162018,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2
2hop__847760_80026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2hop__7906_78851,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2
2hop__272714_113442,0.5,0.0,0.5,0.5,0.5,0.5,0.5,3
2hop__73615_20510,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3
2hop__765180_123956,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3
2hop__37765_85990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2hop__37656_36240,0.0,0.0,0.5,0.5,0.5,0.5,0.5,2
2hop__132909_33564,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2
2hop__96177_62765,0.5,1.0,0.5,1.0,1.0,1.0,1.0,3
2hop__71165_807969,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2
2hop__35173_17335,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3
2hop__10017_18974,0.5,0.5,0.0,0.0,0.5,0.5,0.5,2
2hop__538735_3299,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3
2hop__35137_22932,0.0,0.5,0.5,0.5,0.5,0.5,0.5,3
2hop__46065_417697,0.5,0.5,0.0,0.5,0.5,0.5,0.5,2
2hop__179149_396277,0.0,0.0,0.5,0.0,0.5,0.5,0.5,2
2hop__431934_30351,0.5,0.5,0.5,0.5,0.5,1.0,0.5,3
2hop__35137_22943,0.0,0.5,0.5,0.0,0.5,0.5,0.5,2
2hop__335418_279684,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2
2hop__123166_47134,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3
2hop__175175_347233,0.5,0.5,0.5,0.0,0.5,0.5,0.5,2
2hop__32441_178460,0.5,0.0,0.5,0.0,0.5,0.5,0.5,2
